DoctorID,Region,Category,Rank,Incidence rate,R rate,Satisfaction,Experience,Purchases
ACGIJH,2 7 10,Specialist,Silver Plus,3.0,0.88,-50.00,1.5,8.0
ACHADI,2 7 14,Specialist,Silver Plus,3.0,0.0,--,1.0,3.0
ACHCAG,1 8,Specialist,Platinum,3.0,1.38,14.29,0.25,8.0
ADBJFE,2 6 12,General Practitioner,Gold,3.0,0.0,-100.00,1.0,3.0
ADCAEI,2 6 8,General Practitioner,Silver Plus,3.0,0.0,--,0.0,3.0
ADEFFC,1 11,General Practitioner,Platinum,3.0,0.75,100.00,1.0,4.0
ADFECC,2 7 9,Specialist,Gold Plus,3.0,1.33,90.00,1.0,3.0
ADIJBE,2 11,Specialist,Silver Plus,3.0,1.67,66.67,0.0,3.0
ADIFBD,1 19 T3,Specialist,Platinum Plus,3.0,1.0,28.57,0.0,3.0
AEEJCH,17,General Practitioner,Gold Plus,3.0,0.13,100.00,0.38,8.0
AEFJHG,2 7 10,Specialist,Gold,3.0,1.0,37.50,0.33,3.0
AFBJIE,2 6 19,General Practitioner,Silver Plus,3.0,0.75,33.33,0.5,4.0
AFCEGG,2 7 9,Specialist,Gold Plus,3.0,1.33,--,0.0,3.0
AFEHCG,2 6 14,General Practitioner,Silver Plus,3.0,0.0,--,1.33,3.0
AFFCCA,2 6 12,General Practitioner,Silver Plus,3.0,1.25,37.50,0.75,4.0
AFICJC,1 19,Specialist,Platinum,3.0,1.0,-100.00,0.33,3.0
AGBJFF,1 19,General Practitioner,Platinum,3.0,0.5,--,0.0,4.0
AGCDEJ,2 6 9,General Practitioner,Silver Plus,3.0,0.25,--,1.0,4.0
AGDFDJ,1 9,Specialist,Platinum,3.0,1.75,--,0.5,4.0
AHCFGJ,2 6 19,General Practitioner,Gold Plus,3.0,2.0,--,0.0,3.0
AHGDBD,4 15,Specialist,Ambassador,3.0,1.19,--,0.06,16.0
AHGGFF,2 7 8,Specialist,Gold Plus,3.0,1.0,-100.00,0.75,4.0
AHHEGJ,2 6 12,General Practitioner,Silver Plus,3.0,1.25,--,0.25,4.0
AHIAEA,2 6 19,General Practitioner,Silver Plus,3.0,1.0,--,1.0,4.0
AHIBDA,2 6 9,General Practitioner,Silver Plus,3.0,0.33,--,0.0,3.0
AIBEEA,2 6 14,General Practitioner,Silver Plus,3.0,0.0,--,5.33,3.0
AIEBFJ,2 7 10,Specialist,Gold,3.0,0.0,-100.00,1.0,4.0
AIEBFD,1 8 T3,Specialist,Titanium,3.0,1.25,--,0.5,8.0
AIFDCI,2 6 9,General Practitioner,Silver Plus,3.0,0.0,-100.00,0.0,4.0
BJDFFJ,2 11,General Practitioner,Gold,3.0,0.25,100.00,0.0,4.0
BJEACG,1 11,General Practitioner,Platinum,3.0,0.75,--,0.25,4.0
BJGCHG,1 14,Specialist,Platinum Plus,3.0,0.67,50.00,1.0,3.0
BAJCJJ,2 7 10,Specialist,Gold Plus,3.0,1.0,100.00,0.75,4.0
BABGCI,1 9,Specialist,Gold Plus,3.0,4.25,25.00,0.25,4.0
BACJAD,2 6 8,General Practitioner,Gold,3.0,0.0,--,0.0,4.0
BACJCC,1 8,General Practitioner,Platinum,3.0,1.0,100.00,0.0,4.0
BACAGE,1 19 T4,Specialist,Ambassador,3.0,1.42,--,0.38,24.0
BBBFHC,2 11,General Practitioner,Silver Plus,3.0,0.0,100.00,1.0,3.0
BBBFHH,1 11,General Practitioner,Ambassador,3.0,0.75,100.00,0.25,4.0
BCGGDI,2 7 19,Specialist,Gold,3.0,1.75,--,0.25,4.0
BDGBAA,1 13,Specialist,Platinum,3.0,2.25,--,0.75,4.0
BDGCAB,17,General Practitioner,Gold,3.0,0.0,--,0.33,3.0
BDGHAH,2 6 12,General Practitioner,Silver Plus,3.0,0.0,--,0.33,3.0
BDHEJE,2 6 13,General Practitioner,Silver Plus,3.0,0.25,--,1.0,4.0
BEAGDA,1 12,General Practitioner,Ambassador,3.0,2.33,-33.33,1.0,3.0
BEDIAF,1 14,General Practitioner,Platinum,3.0,0.88,--,0.88,8.0
BFADBF,2 6 13,General Practitioner,Gold Plus,3.0,0.0,--,2.0,3.0
BFIBIE,2 11,Specialist,Gold,3.0,0.5,--,0.0,4.0
BGABAC,2 7 10,Specialist,Silver Plus,3.0,1.0,-75.00,1.33,3.0
BHJBFE,22 18,Specialist,Silver Plus,3.0,1.88,--,0.25,8.0
IACHF,1 14,Specialist,Ambassador,2.89,1.51,88.89,0.89,35.0
EIFEJ,1 9 T4,Specialist,Ambassador,2.86,0.81,--,0.0,27.0
FAFFH,1 12 T3,Specialist,Platinum Plus,2.83,1.57,--,0.57,23.0
FDBFC,1 8,Specialist,Ambassador,2.83,1.09,100.00,0.48,23.0
FAJBA,1 13,Specialist,Ambassador,2.8,1.47,48.57,0.53,19.0
BDFHAC,1 14 T3,Specialist,Titanium,2.8,0.53,--,0.37,19.0
FDDHA,1 12,Specialist,Ambassador,2.78,1.12,--,0.94,34.0
FDGCE,1 11,Specialist,Ambassador,2.75,1.03,0.00,1.13,30.0
IDBDE,1 12 T4,Specialist,Ambassador,2.75,0.93,--,0.07,15.0
GDADF,1 14,Specialist,Ambassador,2.69,1.35,66.67,0.79,48.0
FJDEA,1 10 T3,Specialist,Platinum Plus,2.67,1.18,--,0.91,11.0
FBHHI,1 10 T3,Specialist,Platinum,2.67,2.18,70.00,0.64,11.0
GIHBE,1 8 T3,Specialist,Titanium,2.67,3.0,--,0.0,11.0
HBDID,1 19 T4,Specialist,Ambassador,2.67,1.27,-33.33,0.05,22.0
BAFIJH,1 11,Specialist,Ambassador,2.67,1.64,-29.17,2.09,11.0
GDJGB,1 21 T4,Specialist,Ambassador,2.6,1.17,20.00,0.33,18.0
FDHDI,1 12,Specialist,Ambassador,2.56,0.72,5.88,0.16,32.0
FAHDI,1 14,Specialist,Ambassador,2.55,0.85,0.00,0.82,39.0
EHHCB,1 19 T3,Specialist,Platinum,2.5,2.86,--,0.0,7.0
EHHGF,1 12 T3,Specialist,Titanium,2.5,1.86,-100.00,0.57,7.0
FJEEA,1 19,Specialist,Platinum,2.5,1.29,27.27,0.0,7.0
FAACH,1 13,Specialist,Ambassador,2.5,0.14,100.00,0.43,7.0
FAHJJ,1 9 T3,Specialist,Titanium,2.5,0.57,40.00,0.14,7.0
FAICH,1 9,Specialist,Ambassador,2.5,1.14,85.96,0.64,14.0
FCFCJ,1 8 T3,Specialist,Titanium,2.5,1.61,--,0.18,28.0
FDEIA,2 7 8,Specialist,Gold Plus,2.5,2.57,60.00,0.57,7.0
GDFHE,1 12,Specialist,Platinum Plus,2.5,1.57,-26.32,0.29,7.0
AABCGD,1 14,Specialist,Gold Plus,2.5,1.57,-33.33,1.14,7.0
ABDJAA,23 3,Specialist,Titanium Plus,2.5,1.64,--,4.07,14.0
ADJHAB,1 12 T3,Specialist,Titanium,2.5,0.57,--,0.0,7.0
BJBFJC,1 9 T3,Specialist,Platinum Plus,2.5,1.14,64.71,0.71,7.0
FCABB,1 9,Specialist,Ambassador,2.4,1.41,100.00,0.35,17.0
EIEJD,1 11,Specialist,Platinum,2.33,1.5,100.00,0.2,10.0
FJDAD,1 19,Specialist,Ambassador,2.33,0.8,42.86,0.3,10.0
FBIHF,1 8 T3,Specialist,Platinum,2.33,1.4,-33.33,0.3,10.0
FCDBG,1 12,Specialist,Ambassador,2.33,1.05,87.10,1.0,20.0
FCHHD,1 14 T3,Specialist,Platinum Plus,2.33,1.4,--,0.5,10.0
GGCCG,1 19,Specialist,Platinum,2.33,1.3,--,0.6,10.0
AJJHDH,1 13,General Practitioner,Ambassador,2.33,1.7,100.00,1.0,10.0
AJCACF,1 13 T4,Specialist,Ambassador,2.33,0.63,83.33,0.13,30.0
AABDHC,1 13,Specialist,Titanium,2.33,2.3,31.82,0.6,10.0
AAEAAJ,1 9 T3,Specialist,Platinum Plus,2.33,1.6,-22.22,0.7,10.0
AAHAEH,1 11,General Practitioner,Ambassador,2.33,0.45,0.00,0.55,20.0
AFJFJB,1 14,Specialist,Gold Plus,2.33,0.8,-100.00,0.7,10.0
IAEBD,1 19 20,Specialist,Ambassador,2.31,1.29,84.29,1.09,129.0
FBJHH,1 10 T3,Specialist,Titanium,2.25,1.08,-33.33,0.38,13.0
FCFFF,1 19 T3,Specialist,Titanium,2.25,1.69,-13.33,0.23,13.0
AEFJCG,1 10,Specialist,Platinum,2.25,1.54,40.00,0.23,13.0
AHDFJE,1 11,Specialist,Titanium,2.25,0.92,100.00,0.92,13.0
BABIEG,1 21 T3,Specialist,Platinum,2.25,0.23,-33.33,0.0,13.0
HGAFG,1 19 T4,Specialist,Ambassador,2.2,0.88,--,0.06,16.0
AIABDJ,1 10,Specialist,Ambassador,2.18,0.8,11.76,0.77,35.0
BBAJCF,1 9 T4,Specialist,Ambassador,2.17,1.68,--,0.11,19.0
GGCFB,1 19 T4,Specialist,Ambassador,2.14,0.77,--,0.27,22.0
FDCEG,1 9,Specialist,Ambassador,2.13,0.84,100.00,0.32,25.0
EIEIB,1 13,Specialist,Ambassador,2.05,1.56,11.11,0.39,64.0
